"","Date","Site","Latitude","Longitude","HardCoral","Macroalgae","SmallAlgae","Other","Sand"
"1",2005,"LTER 1",-17.47913579,-149.83770635,3.47,0.68,95.16,1.15,1.6
"2",2005,"LTER 2",-17.473540635,-149.8039267,3.85,0.54,95.56,0.47,0.59
"3",2005,"LTER 3",-17.512345915,-149.76142935,2.74,0.39,96.18,0.58,2.4
"4",2005,"LTER 4",-17.54184642,-149.76698615,3,0.12,95.72,1.53,2.19
"5",2005,"LTER 5",-17.580002725,-149.8715382,3.21,0.15,96.09,0.05,1.39
"6",2005,"LTER 6",-17.517878605,-149.9230353,2.17,1.05,97,0.92,0.94
"7",2006,"LTER 1",-17.47913579,-149.83770635,3.57,0.43,95.45,1.43,1.11
"8",2006,"LTER 2",-17.473540635,-149.8039267,3.09,0.4,96.36,0.31,0.78
"9",2006,"LTER 3",-17.512345915,-149.76142935,2.91,0.25,96.32,0.64,1.56
"10",2006,"LTER 4",-17.54184642,-149.76698615,2.95,0.11,95.82,2.64,1.58
"11",2006,"LTER 5",-17.580002725,-149.8715382,3.6,0.29,95.65,1.08,0.96
"12",2006,"LTER 6",-17.517878605,-149.9230353,1.99,0.49,97.13,1.28,0.89
"13",2007,"LTER 1",-17.47913579,-149.83770635,11.85,0.3,83.08,0.12,4.69
"14",2007,"LTER 2",-17.473540635,-149.8039267,17.05,0.38,80.15,0.09,2.34
"15",2007,"LTER 3",-17.512345915,-149.76142935,9.03,0.34,87.17,0.17,3.4
"16",2007,"LTER 4",-17.54184642,-149.76698615,11.07,0.14,83.17,0.12,5.53
"17",2007,"LTER 5",-17.580002725,-149.8715382,14.12,0.31,83.05,0.38,2.4
"18",2007,"LTER 6",-17.517878605,-149.9230353,6.52,4.01,87.76,0.1,1.63
"19",2008,"LTER 1",-17.47913579,-149.83770635,1.92,0.57,96.41,0.05,1.04
"20",2008,"LTER 2",-17.473540635,-149.8039267,2.05,0.39,96.98,0.05,0.53
"21",2008,"LTER 3",-17.512345915,-149.76142935,1.24,1.3,96.59,0.02,0.87
"22",2008,"LTER 4",-17.54184642,-149.76698615,2.42,0.48,95.48,0.12,1.5
"23",2008,"LTER 5",-17.580002725,-149.8715382,2.87,0.48,95.71,0.01,0.93
"24",2008,"LTER 6",-17.517878605,-149.9230353,1.36,0.63,96.99,0.06,0.97
"25",2009,"LTER 1",-17.47913579,-149.83770635,1.45,0.75,96.93,0.06,0.82
"26",2009,"LTER 2",-17.473540635,-149.8039267,1.58,0.81,97,0.03,0.58
"27",2009,"LTER 3",-17.512345915,-149.76142935,0.73,1.03,97.55,0.01,0.68
"28",2009,"LTER 4",-17.54184642,-149.76698615,1.1,0.67,96.5,0.08,1.64
"29",2009,"LTER 5",-17.580002725,-149.8715382,2.23,0.54,96.57,0.02,0.64
"30",2009,"LTER 6",-17.517878605,-149.9230353,0.83,0.89,97.42,0.04,0.83
"31",2010,"LTER 1",-17.47913579,-149.83770635,1.15,0.64,97.35,0.01,0.86
"32",2010,"LTER 2",-17.473540635,-149.8039267,1.36,0.11,98.39,0.02,0.12
"33",2010,"LTER 3",-17.512345915,-149.76142935,0.48,0.07,98.56,0.01,0.88
"34",2010,"LTER 4",-17.54184642,-149.76698615,0.75,0.1,97.25,0.09,1.81
"35",2010,"LTER 5",-17.580002725,-149.8715382,1.76,0.14,97.45,0.01,0.64
"36",2010,"LTER 6",-17.517878605,-149.9230353,0.75,0.32,98.33,0.02,0.58
"37",2011,"LTER 1",-17.47913579,-149.83770635,0.96,0.52,97.91,0.01,0.61
"38",2011,"LTER 2",-17.473540635,-149.8039267,0.87,0.44,98.27,0.03,0.38
"39",2011,"LTER 3",-17.512345915,-149.76142935,0.27,0.28,98.75,0.01,0.69
"40",2011,"LTER 4",-17.54184642,-149.76698615,0.73,0.32,97.46,0.09,1.4
"41",2011,"LTER 5",-17.580002725,-149.8715382,1.69,0.68,97.06,0.04,0.54
"42",2011,"LTER 6",-17.517878605,-149.9230353,0.85,0.64,97.98,0.05,0.48
"43",2012,"LTER 1",-17.47913579,-149.83770635,0.47,1.46,97.48,0.01,0.57
"44",2012,"LTER 2",-17.473540635,-149.8039267,0.76,0.62,98.42,0.04,0.16
"45",2012,"LTER 3",-17.512345915,-149.76142935,0.26,1.15,98.01,0,0.58
"46",2012,"LTER 4",-17.54184642,-149.76698615,0.69,0.81,96.68,0.02,1.8
"47",2012,"LTER 5",-17.580002725,-149.8715382,1.67,0.84,96.88,0.02,0.59
"48",2012,"LTER 6",-17.517878605,-149.9230353,0.99,1.34,97.18,0.06,0.44
"49",2013,"LTER 1",-17.47913579,-149.83770635,8.12,8.21,75.09,0.31,8.27
"50",2013,"LTER 2",-17.473540635,-149.8039267,10,4.68,80,0.65,4.66
"51",2013,"LTER 3",-17.512345915,-149.76142935,3.76,4.17,82.76,0.2,9.1
"52",2013,"LTER 4",-17.54184642,-149.76698615,10.46,2.94,66,1.52,19.08
"53",2013,"LTER 5",-17.580002725,-149.8715382,19.05,4.87,70.79,0.96,4.34
"54",2013,"LTER 6",-17.517878605,-149.9230353,14.97,6.43,72.79,0.93,4.88
"55",2014,"LTER 1",-17.47913579,-149.83770635,14.34,6.42,67.55,0.35,11.34
"56",2014,"LTER 2",-17.473540635,-149.8039267,11.89,5.89,79.26,0.91,2.05
"57",2014,"LTER 3",-17.512345915,-149.76142935,4.91,1.99,82.86,0.39,9.85
"58",2014,"LTER 4",-17.54184642,-149.76698615,9.95,2.67,64.44,1.61,21.34
"59",2014,"LTER 5",-17.580002725,-149.8715382,20.88,1.86,69.62,1.18,6.47
"60",2014,"LTER 6",-17.517878605,-149.9230353,17.04,4.86,72.16,1.09,4.85
"61",2015,"LTER 1",-17.47913579,-149.83770635,23.07,11.65,55.99,0.41,8.88
"62",2015,"LTER 2",-17.473540635,-149.8039267,17.03,6.75,72.79,1.22,2.21
"63",2015,"LTER 3",-17.512345915,-149.76142935,5.39,2.83,80.13,0.16,11.51
"64",2015,"LTER 4",-17.54184642,-149.76698615,13.34,1.94,61.8,1.61,21.3
"65",2015,"LTER 5",-17.580002725,-149.8715382,26.46,1.14,64.98,1.08,6.33
"66",2015,"LTER 6",-17.517878605,-149.9230353,19.57,16.17,59.09,0.94,4.22
"67",2016,"LTER 1",-17.47913579,-149.83770635,29.33,14.26,50.63,0.44,5.33
"68",2016,"LTER 2",-17.473540635,-149.8039267,20.55,10.05,67.52,1.05,0.83
"69",2016,"LTER 3",-17.512345915,-149.76142935,6.89,3.86,80.18,0.75,8.32
"70",2016,"LTER 4",-17.54184642,-149.76698615,20.58,2.33,53.42,0.92,22.74
"71",2016,"LTER 5",-17.580002725,-149.8715382,32.4,1.22,53.81,2.02,10.55
"72",2016,"LTER 6",-17.517878605,-149.9230353,18.72,10.98,63.6,1.33,5.36
"73",2017,"LTER 1",-17.47913579,-149.83770635,33.15,10.66,45.42,1.15,9.61
"74",2017,"LTER 2",-17.473540635,-149.8039267,27.45,7.8,58.41,2.24,4.12
"75",2017,"LTER 3",-17.512345915,-149.76142935,7.08,7.27,68.26,2.33,15.06
"76",2017,"LTER 4",-17.54184642,-149.76698615,21.68,0.94,51.98,2.98,22.44
"77",2017,"LTER 5",-17.580002725,-149.8715382,38.05,0.55,51.16,2.53,7.71
"78",2017,"LTER 6",-17.517878605,-149.9230353,22.89,17.23,51.12,1.65,7.11
"79",2018,"LTER 1",-17.47913579,-149.83770635,36.52,7.24,40.33,0.57,15.34
"80",2018,"LTER 2",-17.473540635,-149.8039267,32.79,8.53,53.93,1.15,3.6
"81",2018,"LTER 3",-17.512345915,-149.76142935,10.03,6.73,67.51,0.11,15.61
"82",2018,"LTER 4",-17.54184642,-149.76698615,26.57,1.74,48.47,0.41,22.81
"83",2018,"LTER 5",-17.580002725,-149.8715382,45.33,0.8,43.7,0.88,9.28
"84",2018,"LTER 6",-17.517878605,-149.9230353,26.49,13.63,48.76,0.88,10.25
"85",2019,"LTER 1",-17.47913579,-149.83770635,38.95,10,28.42,0.62,22.01
"86",2019,"LTER 2",-17.473540635,-149.8039267,35.22,18.75,33.7,1.18,11.15
"87",2019,"LTER 3",-17.512345915,-149.76142935,12.12,9.49,49.96,0.55,27.88
"88",2019,"LTER 4",-17.54184642,-149.76698615,27.04,1.64,39.52,1.11,30.67
