"","Date","Site","Latitude","Longitude","HardCoral_Other","HardCoral_StressTol","HydroCoral","Macroalgae","SoftCoral","SmallAlgae_orBare","Sand","Unknown_or_Other"
"1",2005,"LTER 1",-17.47913579,-149.83770635,3.35,0.12,1.15,0.68,0,95.16,1.6,0
"2",2005,"LTER 2",-17.473540635,-149.8039267,3.59,0.26,0.47,0.54,0,95.56,0.59,0
"3",2005,"LTER 3",-17.512345915,-149.76142935,1.91,0.83,0.58,0.39,0,96.18,2.4,0
"4",2005,"LTER 4",-17.54184642,-149.76698615,2.1,0.9,1.53,0.12,0,95.72,2.19,0
"5",2005,"LTER 5",-17.580002725,-149.8715382,2.81,0.4,0.05,0.15,0,96.09,1.39,0
"6",2005,"LTER 6",-17.517878605,-149.9230353,1.29,0.88,0.92,1.05,0,97,0.94,0
"7",2006,"LTER 1",-17.47913579,-149.83770635,3.49,0.08,1.43,0.43,0,95.45,1.11,0
"8",2006,"LTER 2",-17.473540635,-149.8039267,2.92,0.17,0.31,0.4,0,96.36,0.78,0
"9",2006,"LTER 3",-17.512345915,-149.76142935,2.07,0.84,0.39,0.25,0.25,96.32,1.56,0
"10",2006,"LTER 4",-17.54184642,-149.76698615,1.93,1.02,2.24,0.11,0.4,95.82,1.58,0
"11",2006,"LTER 5",-17.580002725,-149.8715382,3.14,0.46,0.17,0.29,0.91,95.65,0.96,0
"12",2006,"LTER 6",-17.517878605,-149.9230353,1.23,0.76,1.11,0.49,0.17,97.13,0.89,0
"13",2007,"LTER 1",-17.47913579,-149.83770635,7.4,4.45,0.06,0.3,0,83.08,4.69,0.06
"14",2007,"LTER 2",-17.473540635,-149.8039267,16.66,0.39,0.06,0.38,0,80.15,2.34,0.03
"15",2007,"LTER 3",-17.512345915,-149.76142935,2.44,6.59,0.01,0.34,0.01,87.17,3.4,0.15
"16",2007,"LTER 4",-17.54184642,-149.76698615,1.75,9.32,0.06,0.14,0.01,83.17,5.53,0.05
"17",2007,"LTER 5",-17.580002725,-149.8715382,13.16,0.96,0,0.31,0.01,83.05,2.4,0.37
"18",2007,"LTER 6",-17.517878605,-149.9230353,1.68,4.84,0.06,4.01,0,87.76,1.63,0.04
"19",2008,"LTER 1",-17.47913579,-149.83770635,1.9,0.02,0.04,0.57,0.01,96.41,1.04,0
"20",2008,"LTER 2",-17.473540635,-149.8039267,2.02,0.03,0.05,0.39,0,96.98,0.53,0
"21",2008,"LTER 3",-17.512345915,-149.76142935,0.52,0.72,0.01,1.3,0.01,96.59,0.87,0
"22",2008,"LTER 4",-17.54184642,-149.76698615,1.47,0.95,0.11,0.48,0.01,95.48,1.5,0
"23",2008,"LTER 5",-17.580002725,-149.8715382,2.6,0.27,0,0.48,0.01,95.71,0.93,0
"24",2008,"LTER 6",-17.517878605,-149.9230353,0.76,0.6,0.05,0.63,0.01,96.99,0.97,0
"25",2009,"LTER 1",-17.47913579,-149.83770635,1.44,0.01,0.06,0.75,0,96.93,0.82,0
"26",2009,"LTER 2",-17.473540635,-149.8039267,1.56,0.02,0.03,0.81,0,97,0.58,0
"27",2009,"LTER 3",-17.512345915,-149.76142935,0.21,0.52,0,1.03,0.01,97.55,0.68,0
"28",2009,"LTER 4",-17.54184642,-149.76698615,0.51,0.59,0.07,0.67,0.01,96.5,1.64,0
"29",2009,"LTER 5",-17.580002725,-149.8715382,2.03,0.2,0,0.54,0.02,96.57,0.64,0
"30",2009,"LTER 6",-17.517878605,-149.9230353,0.2,0.63,0.03,0.89,0.01,97.42,0.83,0
"31",2010,"LTER 1",-17.47913579,-149.83770635,1.14,0.01,0.01,0.64,0,97.35,0.86,0
"32",2010,"LTER 2",-17.473540635,-149.8039267,1.28,0.08,0.02,0.11,0,98.39,0.12,0
"33",2010,"LTER 3",-17.512345915,-149.76142935,0.13,0.35,0,0.07,0.01,98.56,0.88,0
"34",2010,"LTER 4",-17.54184642,-149.76698615,0.2,0.55,0.08,0.1,0.01,97.25,1.81,0
"35",2010,"LTER 5",-17.580002725,-149.8715382,1.69,0.07,0,0.14,0.01,97.45,0.64,0
"36",2010,"LTER 6",-17.517878605,-149.9230353,0.06,0.69,0.02,0.32,0,98.33,0.58,0
"37",2011,"LTER 1",-17.47913579,-149.83770635,0.8,0.16,0.01,0.52,0,97.91,0.61,0
"38",2011,"LTER 2",-17.473540635,-149.8039267,0.78,0.09,0.03,0.44,0,98.27,0.38,0
"39",2011,"LTER 3",-17.512345915,-149.76142935,0.1,0.17,0,0.28,0.01,98.75,0.69,0
"40",2011,"LTER 4",-17.54184642,-149.76698615,0.12,0.61,0.09,0.32,0,97.46,1.4,0
"41",2011,"LTER 5",-17.580002725,-149.8715382,1.44,0.25,0.01,0.68,0.03,97.06,0.54,0
"42",2011,"LTER 6",-17.517878605,-149.9230353,0.07,0.78,0.05,0.64,0,97.98,0.48,0
"43",2012,"LTER 1",-17.47913579,-149.83770635,0.35,0.12,0.01,1.46,0,97.48,0.57,0
"44",2012,"LTER 2",-17.473540635,-149.8039267,0.65,0.11,0.04,0.62,0,98.42,0.16,0
"45",2012,"LTER 3",-17.512345915,-149.76142935,0.14,0.12,0,1.15,0,98.01,0.58,0
"46",2012,"LTER 4",-17.54184642,-149.76698615,0.1,0.59,0.02,0.81,0,96.68,1.8,0
"47",2012,"LTER 5",-17.580002725,-149.8715382,1.4,0.27,0,0.84,0.02,96.88,0.59,0
"48",2012,"LTER 6",-17.517878605,-149.9230353,0.19,0.8,0.06,1.34,0,97.18,0.44,0
